strain,sample,sync_meth,PC1,PC2
BRC20067,BRC20067_B1A5,bleach,-16.8573728483013,-0.440261183620236
BRC20067,BRC20067_B1C3,bleach,2.18511386347218,-0.861202641766375
BRC20067,BRC20067_B1D2,settle,-30.763839899774,-0.902000552416546
BRC20067,BRC20067_B1E5,settle,-7.15314467344708,-1.00352561704609
BRC20067,BRC20067_B2D6,bleach,-13.3350038354539,0.167331111042896
BRC20067,BRC20067_B2G4,settle,-14.0194040720769,-1.39966283695945
CB4856,CB4856_B1A6,bleach,18.245580211651,14.3282401476094
CB4856,CB4856_B1B5,bleach,17.726151519247,17.6179833056553
CB4856,CB4856_B1C4,bleach,31.1214524801599,16.1348612067759
CB4856,CB4856_B1D5,settle,24.3166553566975,15.5256325465351
CB4856,CB4856_B1E8,settle,11.227978740476,14.4133630743135
CB4856,CB4856_B1G5,settle,17.7795311094054,13.7090674829032
DL238,DL238_B1B6,bleach,5.70696615334868,-18.8329292151467
DL238,DL238_B1C5,bleach,27.0496268929389,-18.0606537715523
DL238,DL238_B1D8,settle,9.0548002933584,-19.2942004129029
DL238,DL238_B1F2,settle,13.9599687825296,-18.3384370652157
DL238,DL238_B2D2,bleach,21.5033043648165,-17.6741823852399
DL238,DL238_B2G6,settle,2.59154919581947,-18.6075058551306
N2,N2_B1E2,settle,-23.7770152886715,3.41353104335267
N2,N2_B1F5,settle,-15.8524048853756,3.43765670372904
N2,N2_B2D3,bleach,-18.5176634087177,4.34631317320234
N2,N2_B2D7,bleach,-28.032882952717,4.18387503013037
N2,N2_B2D9,bleach,-6.71167314713286,4.57811832519651
N2,N2_B2G7,settle,-27.4482739522529,3.55858838655042
